idd,sex,w_truncation,w_conservation,w_uncertainty,ebv
11001,M,0.0,8.310094996559017e-22,0.0,1.87674815328931
11002,F,0.001,0.001,0.001,1.89320474499582
11003,M,0.0,0.0,0.0,1.87121289965713
11004,F,0.001,0.001,0.001,1.64244109119656
11005,M,0.0,0.001756987178465359,0.0,1.8010405871417
11006,F,0.001,0.001,0.001,2.00363151891472
11007,M,0.0,0.0019083509411486487,0.0,1.94585367949921
11008,F,0.001,0.001,0.001,1.74109062468543
11009,M,0.0,0.0016670418160349785,0.0028596090719666275,1.62684866923027
11010,F,0.001,0.001,0.001,1.53153999128405
11011,M,0.0,0.0034755989756203357,0.0,2.06615598256046
11012,F,0.001,0.001,0.001,1.7554001736814
11013,M,0.0,0.002717681286287569,0.0,1.8990100326972
11014,F,0.001,0.001,0.001,2.18640917887052
11015,M,0.0,0.0,0.0,2.00436369718937
11016,F,0.001,0.001,0.001,2.18624773030978
11017,M,0.0,0.0,0.0,1.98134378856177
11018,F,0.001,0.001,0.001,1.83639580972954
11019,M,0.0,0.00015371109779456198,0.0,1.96031034282324
11020,F,0.001,0.001,0.001,1.86480738610144
11021,M,0.0,0.0,0.0,2.12054500842291
11022,F,0.001,0.001,0.001,1.51246783842754
11023,M,0.0,0.0,0.0,1.95497917133459
11024,F,0.001,0.001,0.001,2.21296999609585
11025,M,0.0,0.0,0.0,1.74206776021836
11026,F,0.001,0.001,0.001,1.64147628667879
11027,M,0.0,0.0,0.0,2.06024797400827
11028,F,0.001,0.001,0.001,1.76902886240984
11029,M,0.0,0.0,0.0,1.93608124995901
11030,F,0.001,0.001,0.001,1.92497353028016
11031,M,0.0,0.0018479168125589305,0.0,1.56786469375561
11032,F,0.001,0.001,0.001,1.71575369695424
11033,M,0.0,5.9884679854744966e-06,0.0,1.82558423031419
11034,F,0.001,0.001,0.001,1.32445830180967
11035,M,0.0,0.0,0.0,2.0085153611718
11036,F,0.001,0.001,0.001,1.82927338887014
11037,M,0.0,0.0020692850176438652,0.0,1.76243374385072
11038,F,0.001,0.001,0.001,2.03769912301146
11039,M,0.0,0.0011981813798533339,0.0,1.91956896407353
11040,F,0.001,0.001,0.001,2.12733315680946
11041,M,0.0,0.0003161138441029174,0.0,1.78117646741269
11042,F,0.001,0.001,0.001,1.93414687714678
11043,M,0.0,0.0,0.0,1.95062835843451
11044,F,0.001,0.001,0.001,1.84134569194666
11045,M,0.0,0.0,0.0,2.07837684748896
11046,F,0.001,0.001,0.001,1.98897277134212
11047,M,0.0,0.0,0.00278746100052256,1.98122254732172
11048,F,0.001,0.001,0.001,1.73669900746143
11049,M,0.0,0.002509769616317185,0.0,1.71100938041514
11050,F,0.001,0.001,0.001,2.25884868583116
11051,M,0.0,0.0,0.001222379158561016,1.7313471056
11052,F,0.001,0.001,0.001,1.71067821214648
11053,M,0.0,0.0,0.0,1.58887789565275
11054,F,0.001,0.001,0.001,1.97515903212235
11055,M,0.0,0.0,0.0,2.0134810980357
11056,F,0.001,0.001,0.001,1.3655602058429
11057,M,0.0,0.007091522146358667,0.0,1.69578373944925
11058,F,0.001,0.001,0.001,1.28343341525195
11059,M,0.0,0.0,0.0,2.01931233838239
11060,F,0.001,0.001,0.001,1.67074925436093
11061,M,0.0,0.0,0.0,2.00035428958741
11062,F,0.001,0.001,0.001,1.46381816113095
11063,M,0.0,0.006360541516893813,0.0,2.13729025456933
11064,F,0.001,0.001,0.001,1.68673163662933
11065,M,0.0,0.00046987923152735803,0.015187116718685507,2.02517543179271
11066,F,0.001,0.001,0.001,1.78811460385012
11067,M,0.0,0.001962686439623609,0.012833624444416655,1.93386243929086
11068,F,0.001,0.001,0.001,1.79409342304685
11069,M,0.0,0.0,0.0,1.99012802890294
11070,F,0.001,0.001,0.001,1.66795286838744
11071,M,0.0,0.0,0.0,1.74865639699911
11072,F,0.001,0.001,0.001,1.71439039959535
11073,M,0.0,0.005031173417182206,0.0,1.6687225821762
11074,F,0.001,0.001,0.001,2.05287087920736
11075,M,0.0,0.0,0.0,2.01878653234152
11076,F,0.001,0.001,0.001,1.78045841072129
11077,M,0.0,0.0030172686882724477,0.0,1.38704439798821
11078,F,0.001,0.001,0.001,1.94429239080548
11079,M,0.0,0.0,0.0,1.81335224969352
11080,F,0.001,0.001,0.001,1.65304382810357
11081,M,0.0,0.000342386507988007,0.0018731453117769592,1.58628685822345
11082,F,0.001,0.001,0.001,1.77397381254833
11083,M,0.0,0.0,0.0,1.90685909569916
11084,F,0.001,0.001,0.001,1.9349369533744
11085,M,0.0,0.0030159723275153,0.0,1.92692801652134
11086,F,0.001,0.001,0.001,1.65772420347348
11087,M,0.0,0.0,0.0,1.9792262533502
11088,F,0.001,0.001,0.001,1.94221714781986
11089,M,0.0,0.0,0.0035841074927319668,1.91307296563247
11090,F,0.001,0.001,0.001,1.69490813889075
11091,M,0.0,0.001253320755698159,0.0,1.8676897804051
11092,F,0.001,0.001,0.001,1.71583216185351
11093,M,0.0,0.0012404379773806537,0.0,2.15429383396451
11094,F,0.001,0.001,0.001,2.06705979456425
11095,M,0.0,0.0,0.0,1.94853865946226
11096,F,0.001,0.001,0.001,2.01023566399797
11097,M,0.0,0.0,0.0,1.72897234010593
11098,F,0.001,0.001,0.001,2.00271960569611
11099,M,0.0,0.006548795194311959,0.0,2.04805333086243
11100,F,0.001,0.001,0.001,1.80886712682927
11101,M,0.0,0.0,0.0,1.87136770075578
11102,F,0.001,0.001,0.001,1.91522250421563
11103,M,0.0,0.0,0.0,1.66456368365625
11104,F,0.001,0.001,0.001,1.45378623194244
11105,M,0.0,0.0,0.0,2.04439851886046
11106,F,0.001,0.001,0.001,1.87499111951207
11107,M,0.0,0.0,0.00597171057143545,2.05357903621355
11108,F,0.001,0.001,0.001,1.94655082290331
11109,M,0.0,0.00036645631989085667,0.005809966086413257,1.81576367608758
11110,F,0.001,0.001,0.001,1.77264182567498
11111,M,0.0,0.00046485899943517423,0.0,1.44895653491506
11112,F,0.001,0.001,0.001,1.86710970127746
11113,M,0.0,0.0049961606263357805,0.0,1.66295022785229
11114,F,0.001,0.001,0.001,1.69972856431296
11115,M,0.0,0.0,0.0,1.41625142994436
11116,F,0.001,0.001,0.001,1.8198351760468
11117,M,0.0,0.0005628254436168394,0.007198469275948234,2.02525026670419
11118,F,0.001,0.001,0.001,1.95753690957063
11119,M,0.0,0.0,0.0007928421333960242,1.69654868188821
11120,F,0.001,0.001,0.001,1.74811396388193
11121,M,0.0,0.0,0.0,1.91339546520991
11122,F,0.001,0.001,0.001,1.7910723758219
11123,M,0.0,0.0,0.0,1.7157103853071
11124,F,0.001,0.001,0.001,1.76462867275548
11125,M,0.0,0.0,0.0,2.0818812442665
11126,F,0.001,0.001,0.001,1.80201018685532
11127,M,0.0,0.001057989376772217,0.0,1.36925782160686
11128,F,0.001,0.001,0.001,1.87759854213942
11129,M,0.0,0.0027921589601771373,0.005733110931745965,1.73188924240922
11130,F,0.001,0.001,0.001,1.25514778572651
11131,M,0.0,0.0,0.0,2.04767218608262
11132,F,0.001,0.001,0.001,1.35784030987776
11133,M,0.0,0.0001269385259398629,0.0,1.68241617521596
11134,F,0.001,0.001,0.001,1.99791289643052
11135,M,0.0,0.0012014618157514464,0.0,1.81745632647632
11136,F,0.001,0.001,0.001,1.95874184182545
11137,M,0.0,0.0015141424251245185,0.0,2.01884331719689
11138,F,0.001,0.001,0.001,1.82137154058295
11139,M,0.0,0.0029828010292568797,0.0,1.62911497567604
11140,F,0.001,0.001,0.001,1.87464078004457
11141,M,0.0,0.0,0.0044318850865446985,2.2862428237293
11142,F,0.001,0.001,0.001,1.98220029502138
